Date;Annee;Heure;Mois;Jours;Prix
2020-07-07;2020;18;July;Tuesday;38,54
2020-07-07;2020;19;July;Tuesday;40,84
2020-07-07;2020;20;July;Tuesday;40,84
2020-07-07;2020;21;July;Tuesday;40,1
2020-07-07;2020;22;July;Tuesday;40,15
2020-07-07;2020;23;July;Tuesday;37
2020-07-08;2020;0;July;Wednesday;36,3
2020-07-08;2020;1;July;Wednesday;31,88
2020-07-08;2020;2;July;Wednesday;30,41
2020-07-08;2020;3;July;Wednesday;29,92
2020-07-08;2020;4;July;Wednesday;29,55
2020-07-08;2020;5;July;Wednesday;30,3
2020-07-08;2020;6;July;Wednesday;36,98
2020-07-08;2020;7;July;Wednesday;43
2020-07-08;2020;8;July;Wednesday;47
2020-07-08;2020;9;July;Wednesday;46,2
2020-07-08;2020;10;July;Wednesday;44,44
2020-07-08;2020;11;July;Wednesday;44,71
2020-07-08;2020;12;July;Wednesday;42,02
2020-07-08;2020;13;July;Wednesday;41,09
2020-07-08;2020;14;July;Wednesday;40,2
2020-07-08;2020;15;July;Wednesday;39,99
2020-07-08;2020;16;July;Wednesday;40,02
2020-07-08;2020;17;July;Wednesday;45,05
2020-07-08;2020;18;July;Wednesday;52,13
2020-07-08;2020;19;July;Wednesday;55
2020-07-08;2020;20;July;Wednesday;52,92
2020-07-08;2020;21;July;Wednesday;45,93
2020-07-08;2020;22;July;Wednesday;45,49
2020-07-08;2020;23;July;Wednesday;39,8
2020-07-09;2020;0;July;Thursday;39,94
2020-07-09;2020;1;July;Thursday;35,41
2020-07-09;2020;2;July;Thursday;32,66
2020-07-09;2020;3;July;Thursday;30,13
2020-07-09;2020;4;July;Thursday;30
2020-07-09;2020;5;July;Thursday;32,63
2020-07-09;2020;6;July;Thursday;38,17
2020-07-09;2020;7;July;Thursday;41,7
2020-07-09;2020;8;July;Thursday;48,9
2020-07-09;2020;9;July;Thursday;47,82
2020-07-09;2020;10;July;Thursday;46,14
2020-07-09;2020;11;July;Thursday;46,98
2020-07-09;2020;12;July;Thursday;43,23
2020-07-09;2020;13;July;Thursday;42,53
2020-07-09;2020;14;July;Thursday;40,75
2020-07-09;2020;15;July;Thursday;39,84
2020-07-09;2020;16;July;Thursday;39,9
2020-07-09;2020;17;July;Thursday;41,7
2020-07-09;2020;18;July;Thursday;46,35
2020-07-09;2020;19;July;Thursday;51,7
2020-07-09;2020;20;July;Thursday;47,39
2020-07-09;2020;21;July;Thursday;46,22
2020-07-09;2020;22;July;Thursday;45
2020-07-09;2020;23;July;Thursday;41,91
2020-07-10;2020;0;July;Friday;39
2020-07-10;2020;1;July;Friday;34,7
2020-07-10;2020;2;July;Friday;32,94
2020-07-10;2020;3;July;Friday;31,1
2020-07-10;2020;4;July;Friday;30,39
2020-07-10;2020;5;July;Friday;31,4
2020-07-10;2020;6;July;Friday;36,64
2020-07-10;2020;7;July;Friday;41,01
2020-07-10;2020;8;July;Friday;42,94
2020-07-10;2020;9;July;Friday;42,54
2020-07-10;2020;10;July;Friday;41,76
2020-07-10;2020;11;July;Friday;41,11
2020-07-10;2020;12;July;Friday;40,87
2020-07-10;2020;13;July;Friday;40,5
2020-07-10;2020;14;July;Friday;40,02
2020-07-10;2020;15;July;Friday;39,27
2020-07-10;2020;16;July;Friday;36,24
2020-07-10;2020;17;July;Friday;36,09
2020-07-10;2020;18;July;Friday;38,98
2020-07-10;2020;19;July;Friday;40,79
2020-07-10;2020;20;July;Friday;39
2020-07-10;2020;21;July;Friday;39
2020-07-10;2020;22;July;Friday;39,4
2020-07-10;2020;23;July;Friday;36,8
2020-07-11;2020;0;July;Saturday;34,57
2020-07-11;2020;1;July;Saturday;29,9
2020-07-11;2020;2;July;Saturday;28,37
2020-07-11;2020;3;July;Saturday;27,13
2020-07-11;2020;4;July;Saturday;26,1
2020-07-11;2020;5;July;Saturday;26,1
2020-07-11;2020;6;July;Saturday;26,09
2020-07-11;2020;7;July;Saturday;27,58
2020-07-11;2020;8;July;Saturday;29,09
2020-07-11;2020;9;July;Saturday;28,34
2020-07-11;2020;10;July;Saturday;28,35
2020-07-11;2020;11;July;Saturday;27,64
2020-07-11;2020;12;July;Saturday;27,6
2020-07-11;2020;13;July;Saturday;26,3
2020-07-11;2020;14;July;Saturday;25,56
2020-07-11;2020;15;July;Saturday;25,12
2020-07-11;2020;16;July;Saturday;25,74
2020-07-11;2020;17;July;Saturday;26,5
2020-07-11;2020;18;July;Saturday;30,42
2020-07-11;2020;19;July;Saturday;34
2020-07-11;2020;20;July;Saturday;36,15
2020-07-11;2020;21;July;Saturday;35,91
2020-07-11;2020;22;July;Saturday;37,73
2020-07-11;2020;23;July;Saturday;34,92
2020-07-12;2020;0;July;Sunday;32,97
2020-07-12;2020;1;July;Sunday;28,82
2020-07-12;2020;2;July;Sunday;26,19
2020-07-12;2020;3;July;Sunday;25,03
2020-07-12;2020;4;July;Sunday;24,7
2020-07-12;2020;5;July;Sunday;24,1
2020-07-12;2020;6;July;Sunday;21,68
2020-07-12;2020;7;July;Sunday;22,69
2020-07-12;2020;8;July;Sunday;18,41
2020-07-12;2020;9;July;Sunday;18,04
2020-07-12;2020;10;July;Sunday;16,97
2020-07-12;2020;11;July;Sunday;16,07
2020-07-12;2020;12;July;Sunday;21,46
2020-07-12;2020;13;July;Sunday;16,04
2020-07-12;2020;14;July;Sunday;14,76
2020-07-12;2020;15;July;Sunday;15,8
2020-07-12;2020;16;July;Sunday;18,11
2020-07-12;2020;17;July;Sunday;23,97
2020-07-12;2020;18;July;Sunday;29,05
2020-07-12;2020;19;July;Sunday;35,12
2020-07-12;2020;20;July;Sunday;37,33
2020-07-12;2020;21;July;Sunday;37,74
2020-07-12;2020;22;July;Sunday;37,15
2020-07-12;2020;23;July;Sunday;35,37
2020-07-13;2020;0;July;Monday;29,48
2020-07-13;2020;1;July;Monday;26,03
2020-07-13;2020;2;July;Monday;25,07
2020-07-13;2020;3;July;Monday;25,07
2020-07-13;2020;4;July;Monday;25,1
2020-07-13;2020;5;July;Monday;26,51
2020-07-13;2020;6;July;Monday;34,64
2020-07-13;2020;7;July;Monday;39,27
2020-07-13;2020;8;July;Monday;38,12
2020-07-13;2020;9;July;Monday;37,68
2020-07-13;2020;10;July;Monday;34,95
2020-07-13;2020;11;July;Monday;33,66
2020-07-13;2020;12;July;Monday;34,28
2020-07-13;2020;13;July;Monday;35
2020-07-13;2020;14;July;Monday;34,65
2020-07-13;2020;15;July;Monday;32,84
2020-07-13;2020;16;July;Monday;34
2020-07-13;2020;17;July;Monday;37,41
2020-07-13;2020;18;July;Monday;40,8
2020-07-13;2020;19;July;Monday;45,56
2020-07-13;2020;20;July;Monday;44,76
2020-07-13;2020;21;July;Monday;41,01
2020-07-13;2020;22;July;Monday;40,05
2020-07-13;2020;23;July;Monday;36,4
2020-07-14;2020;0;July;Tuesday;34,47
2020-07-14;2020;1;July;Tuesday;29,79
2020-07-14;2020;2;July;Tuesday;28,16
2020-07-14;2020;3;July;Tuesday;27,74
2020-07-14;2020;4;July;Tuesday;27
2020-07-14;2020;5;July;Tuesday;26,77
2020-07-14;2020;6;July;Tuesday;27
2020-07-14;2020;7;July;Tuesday;27,85
2020-07-14;2020;8;July;Tuesday;33,26
2020-07-14;2020;9;July;Tuesday;36,4
2020-07-14;2020;10;July;Tuesday;36,15
2020-07-14;2020;11;July;Tuesday;36,52
2020-07-14;2020;12;July;Tuesday;36,98
2020-07-14;2020;13;July;Tuesday;36,97
2020-07-14;2020;14;July;Tuesday;36,57
2020-07-14;2020;15;July;Tuesday;36,57
2020-07-14;2020;16;July;Tuesday;36,2
2020-07-14;2020;17;July;Tuesday;38,3
2020-07-14;2020;18;July;Tuesday;41,44
2020-07-14;2020;19;July;Tuesday;45
2020-07-14;2020;20;July;Tuesday;43,73
2020-07-14;2020;21;July;Tuesday;41,55
2020-07-14;2020;22;July;Tuesday;41,43
2020-07-14;2020;23;July;Tuesday;37,02
2020-07-15;2020;0;July;Wednesday;35,55
2020-07-15;2020;1;July;Wednesday;30,22
2020-07-15;2020;2;July;Wednesday;30
2020-07-15;2020;3;July;Wednesday;28,73
2020-07-15;2020;4;July;Wednesday;29,31
2020-07-15;2020;5;July;Wednesday;32,13
2020-07-15;2020;6;July;Wednesday;39,07
2020-07-15;2020;7;July;Wednesday;43,46
2020-07-15;2020;8;July;Wednesday;48,52
2020-07-15;2020;9;July;Wednesday;43,7
2020-07-15;2020;10;July;Wednesday;44,43
2020-07-15;2020;11;July;Wednesday;48
2020-07-15;2020;12;July;Wednesday;45,58
2020-07-15;2020;13;July;Wednesday;43
2020-07-15;2020;14;July;Wednesday;40,7
2020-07-15;2020;15;July;Wednesday;39,47
2020-07-15;2020;16;July;Wednesday;38,35
2020-07-15;2020;17;July;Wednesday;41,4
2020-07-15;2020;18;July;Wednesday;44,19
2020-07-15;2020;19;July;Wednesday;47,3
2020-07-15;2020;20;July;Wednesday;44,54
2020-07-15;2020;21;July;Wednesday;40,9
2020-07-15;2020;22;July;Wednesday;42,09
2020-07-15;2020;23;July;Wednesday;37,97
2020-07-16;2020;0;July;Thursday;36,19
2020-07-16;2020;1;July;Thursday;32,5
2020-07-16;2020;2;July;Thursday;29,84
2020-07-16;2020;3;July;Thursday;28,14
2020-07-16;2020;4;July;Thursday;27,04
2020-07-16;2020;5;July;Thursday;27,82
2020-07-16;2020;6;July;Thursday;29,24
2020-07-16;2020;7;July;Thursday;36,57
2020-07-16;2020;8;July;Thursday;45,15
2020-07-16;2020;9;July;Thursday;46,82
2020-07-16;2020;10;July;Thursday;44,27
2020-07-16;2020;11;July;Thursday;53,87
2020-07-16;2020;12;July;Thursday;52,62
2020-07-16;2020;13;July;Thursday;44,41
2020-07-16;2020;14;July;Thursday;43,93
2020-07-16;2020;15;July;Thursday;42,48
2020-07-16;2020;16;July;Thursday;43
2020-07-16;2020;17;July;Thursday;42
2020-07-16;2020;18;July;Thursday;45,05
2020-07-16;2020;19;July;Thursday;47,53
2020-07-16;2020;20;July;Thursday;43,2
2020-07-16;2020;21;July;Thursday;42,6
2020-07-16;2020;22;July;Thursday;43,1
2020-07-16;2020;23;July;Thursday;38,98
2020-07-17;2020;0;July;Friday;36,48
2020-07-17;2020;1;July;Friday;31,85
2020-07-17;2020;2;July;Friday;29,51
2020-07-17;2020;3;July;Friday;28,68
2020-07-17;2020;4;July;Friday;28,76
2020-07-17;2020;5;July;Friday;28,74
2020-07-17;2020;6;July;Friday;31,47
2020-07-17;2020;7;July;Friday;41,57
2020-07-17;2020;8;July;Friday;44,86
2020-07-17;2020;9;July;Friday;42,72
2020-07-17;2020;10;July;Friday;41,25
2020-07-17;2020;11;July;Friday;41,38
2020-07-17;2020;12;July;Friday;39,01
2020-07-17;2020;13;July;Friday;37
2020-07-17;2020;14;July;Friday;35,74
2020-07-17;2020;15;July;Friday;34,55
2020-07-17;2020;16;July;Friday;34,95
2020-07-17;2020;17;July;Friday;38
2020-07-17;2020;18;July;Friday;41,01
2020-07-17;2020;19;July;Friday;42,01
2020-07-17;2020;20;July;Friday;41
2020-07-17;2020;21;July;Friday;40
2020-07-17;2020;22;July;Friday;40,93
2020-07-17;2020;23;July;Friday;36
2020-07-18;2020;0;July;Saturday;34,57
2020-07-18;2020;1;July;Saturday;30,54
2020-07-18;2020;2;July;Saturday;27,62
2020-07-18;2020;3;July;Saturday;26,63
2020-07-18;2020;4;July;Saturday;26
2020-07-18;2020;5;July;Saturday;25,75
2020-07-18;2020;6;July;Saturday;25,8
2020-07-18;2020;7;July;Saturday;26,5
2020-07-18;2020;8;July;Saturday;26,87
2020-07-18;2020;9;July;Saturday;26,73
2020-07-18;2020;10;July;Saturday;27,37
2020-07-18;2020;11;July;Saturday;27,44
2020-07-18;2020;12;July;Saturday;31,5
2020-07-18;2020;13;July;Saturday;27,67
2020-07-18;2020;14;July;Saturday;25,43
2020-07-18;2020;15;July;Saturday;26
2020-07-18;2020;16;July;Saturday;26
2020-07-18;2020;17;July;Saturday;28,04
2020-07-18;2020;18;July;Saturday;34,65
2020-07-18;2020;19;July;Saturday;37,95
2020-07-18;2020;20;July;Saturday;38,41
2020-07-18;2020;21;July;Saturday;38
2020-07-18;2020;22;July;Saturday;39,45
2020-07-18;2020;23;July;Saturday;37,52
2020-07-19;2020;0;July;Sunday;34
2020-07-19;2020;1;July;Sunday;28,36
2020-07-19;2020;2;July;Sunday;27
2020-07-19;2020;3;July;Sunday;25,4
2020-07-19;2020;4;July;Sunday;25,02
2020-07-19;2020;5;July;Sunday;25,06
2020-07-19;2020;6;July;Sunday;24,94
2020-07-19;2020;7;July;Sunday;25,4
2020-07-19;2020;8;July;Sunday;24,91
2020-07-19;2020;9;July;Sunday;24,93
2020-07-19;2020;10;July;Sunday;24,72
2020-07-19;2020;11;July;Sunday;25
2020-07-19;2020;12;July;Sunday;27
2020-07-19;2020;13;July;Sunday;24,31
2020-07-19;2020;14;July;Sunday;19,46
2020-07-19;2020;15;July;Sunday;20,89
2020-07-19;2020;16;July;Sunday;24,38
2020-07-19;2020;17;July;Sunday;26
2020-07-19;2020;18;July;Sunday;29,8
2020-07-19;2020;19;July;Sunday;36,15
2020-07-19;2020;20;July;Sunday;37,52
2020-07-19;2020;21;July;Sunday;37,95
2020-07-19;2020;22;July;Sunday;40,42
2020-07-19;2020;23;July;Sunday;36,69
2020-07-20;2020;0;July;Monday;32,02
2020-07-20;2020;1;July;Monday;27,57
2020-07-20;2020;2;July;Monday;26,4
2020-07-20;2020;3;July;Monday;26,01
2020-07-20;2020;4;July;Monday;26
2020-07-20;2020;5;July;Monday;27,07
2020-07-20;2020;6;July;Monday;35,24
2020-07-20;2020;7;July;Monday;38,29
2020-07-20;2020;8;July;Monday;39
2020-07-20;2020;9;July;Monday;38,27
2020-07-20;2020;10;July;Monday;36,51
2020-07-20;2020;11;July;Monday;36,23
2020-07-20;2020;12;July;Monday;36,89
2020-07-20;2020;13;July;Monday;36
2020-07-20;2020;14;July;Monday;35,64
2020-07-20;2020;15;July;Monday;36,23
2020-07-20;2020;16;July;Monday;35,87
2020-07-20;2020;17;July;Monday;35,96
2020-07-20;2020;18;July;Monday;39,12
2020-07-20;2020;19;July;Monday;42,54
2020-07-20;2020;20;July;Monday;43,9
2020-07-20;2020;21;July;Monday;41
2020-07-20;2020;22;July;Monday;40,8
2020-07-20;2020;23;July;Monday;37,52
2020-07-21;2020;0;July;Tuesday;31,35
2020-07-21;2020;1;July;Tuesday;27,68
2020-07-21;2020;2;July;Tuesday;26,73
2020-07-21;2020;3;July;Tuesday;26,51
2020-07-21;2020;4;July;Tuesday;26,54
2020-07-21;2020;5;July;Tuesday;27,59
2020-07-21;2020;6;July;Tuesday;33,8
2020-07-21;2020;7;July;Tuesday;38,19
2020-07-21;2020;8;July;Tuesday;38,7
2020-07-21;2020;9;July;Tuesday;38,43
2020-07-21;2020;10;July;Tuesday;38,24
2020-07-21;2020;11;July;Tuesday;38
2020-07-21;2020;12;July;Tuesday;38,43
2020-07-21;2020;13;July;Tuesday;38
2020-07-21;2020;14;July;Tuesday;38,7
2020-07-21;2020;15;July;Tuesday;37,95
2020-07-21;2020;16;July;Tuesday;38,43
2020-07-21;2020;17;July;Tuesday;38,55
2020-07-21;2020;18;July;Tuesday;40,51
2020-07-21;2020;19;July;Tuesday;42,93
2020-07-21;2020;20;July;Tuesday;41,81
2020-07-21;2020;21;July;Tuesday;40,48
2020-07-21;2020;22;July;Tuesday;39,72
2020-07-21;2020;23;July;Tuesday;37,95
2020-07-22;2020;0;July;Wednesday;34,42
2020-07-22;2020;1;July;Wednesday;28,53
2020-07-22;2020;2;July;Wednesday;27,21
2020-07-22;2020;3;July;Wednesday;26,09
2020-07-22;2020;4;July;Wednesday;26,07
2020-07-22;2020;5;July;Wednesday;28,14
2020-07-22;2020;6;July;Wednesday;34,68
2020-07-22;2020;7;July;Wednesday;39,25
2020-07-22;2020;8;July;Wednesday;41,78
2020-07-22;2020;9;July;Wednesday;40,8
2020-07-22;2020;10;July;Wednesday;40,7
2020-07-22;2020;11;July;Wednesday;41,23
2020-07-22;2020;12;July;Wednesday;41,61
2020-07-22;2020;13;July;Wednesday;40
2020-07-22;2020;14;July;Wednesday;40,5
2020-07-22;2020;15;July;Wednesday;39,58
2020-07-22;2020;16;July;Wednesday;40,32
2020-07-22;2020;17;July;Wednesday;39,58
2020-07-22;2020;18;July;Wednesday;42,19
2020-07-22;2020;19;July;Wednesday;45,51
2020-07-22;2020;20;July;Wednesday;43,9
2020-07-22;2020;21;July;Wednesday;41,96
2020-07-22;2020;22;July;Wednesday;41,44
2020-07-22;2020;23;July;Wednesday;39,58
2020-07-23;2020;0;July;Thursday;35,96
2020-07-23;2020;1;July;Thursday;31,94
2020-07-23;2020;2;July;Thursday;30,1
2020-07-23;2020;3;July;Thursday;28,07
2020-07-23;2020;4;July;Thursday;26,76
2020-07-23;2020;5;July;Thursday;29,84
2020-07-23;2020;6;July;Thursday;36,82
2020-07-23;2020;7;July;Thursday;41,69
2020-07-23;2020;8;July;Thursday;43,2
2020-07-23;2020;9;July;Thursday;42,86
2020-07-23;2020;10;July;Thursday;43,09
2020-07-23;2020;11;July;Thursday;43,36
2020-07-23;2020;12;July;Thursday;43,95
2020-07-23;2020;13;July;Thursday;43,4
2020-07-23;2020;14;July;Thursday;44
2020-07-23;2020;15;July;Thursday;42,44
2020-07-23;2020;16;July;Thursday;42,86
2020-07-23;2020;17;July;Thursday;41,98
2020-07-23;2020;18;July;Thursday;42,86
2020-07-23;2020;19;July;Thursday;45,23
2020-07-23;2020;20;July;Thursday;43,64
2020-07-23;2020;21;July;Thursday;42,09
2020-07-23;2020;22;July;Thursday;41,69
2020-07-23;2020;23;July;Thursday;38,58
2020-07-24;2020;0;July;Friday;32,82
2020-07-24;2020;1;July;Friday;27,29
2020-07-24;2020;2;July;Friday;26,04
2020-07-24;2020;3;July;Friday;24,69
2020-07-24;2020;4;July;Friday;24,7
2020-07-24;2020;5;July;Friday;26,41
2020-07-24;2020;6;July;Friday;30,09
2020-07-24;2020;7;July;Friday;36,14
2020-07-24;2020;8;July;Friday;39,95
2020-07-24;2020;9;July;Friday;40,8
2020-07-24;2020;10;July;Friday;40,3
2020-07-24;2020;11;July;Friday;40
2020-07-24;2020;12;July;Friday;39,94
2020-07-24;2020;13;July;Friday;36,21
2020-07-24;2020;14;July;Friday;35,35
2020-07-24;2020;15;July;Friday;33,8
2020-07-24;2020;16;July;Friday;31,28
2020-07-24;2020;17;July;Friday;31,17
2020-07-24;2020;18;July;Friday;35,03
2020-07-24;2020;19;July;Friday;36,85
2020-07-24;2020;20;July;Friday;37,39
2020-07-24;2020;21;July;Friday;37,04
2020-07-24;2020;22;July;Friday;37,17
2020-07-24;2020;23;July;Friday;34,65
2020-07-25;2020;0;July;Saturday;34,63
2020-07-25;2020;1;July;Saturday;30,56
2020-07-25;2020;2;July;Saturday;27,93
2020-07-25;2020;3;July;Saturday;26,03
2020-07-25;2020;4;July;Saturday;25
2020-07-25;2020;5;July;Saturday;25,04
2020-07-25;2020;6;July;Saturday;25,15
2020-07-25;2020;7;July;Saturday;26
2020-07-25;2020;8;July;Saturday;26,4
2020-07-25;2020;9;July;Saturday;28,41
2020-07-25;2020;10;July;Saturday;27
2020-07-25;2020;11;July;Saturday;25,86
2020-07-25;2020;12;July;Saturday;26,02
2020-07-25;2020;13;July;Saturday;23,76
2020-07-25;2020;14;July;Saturday;22,9
2020-07-25;2020;15;July;Saturday;21,22
2020-07-25;2020;16;July;Saturday;21,85
2020-07-25;2020;17;July;Saturday;25,01
2020-07-25;2020;18;July;Saturday;28,9
2020-07-25;2020;19;July;Saturday;31,58
2020-07-25;2020;20;July;Saturday;32,22
2020-07-25;2020;21;July;Saturday;31,41
2020-07-25;2020;22;July;Saturday;32,15
2020-07-25;2020;23;July;Saturday;30
2020-07-26;2020;0;July;Sunday;23,78
2020-07-26;2020;1;July;Sunday;21,6
2020-07-26;2020;2;July;Sunday;20,37
2020-07-26;2020;3;July;Sunday;17
2020-07-26;2020;4;July;Sunday;17,1
2020-07-26;2020;5;July;Sunday;16,5
2020-07-26;2020;6;July;Sunday;10,7
2020-07-26;2020;7;July;Sunday;10,82
2020-07-26;2020;8;July;Sunday;15,88
2020-07-26;2020;9;July;Sunday;18,66
2020-07-26;2020;10;July;Sunday;11,24
2020-07-26;2020;11;July;Sunday;16,53
2020-07-26;2020;12;July;Sunday;22,15
2020-07-26;2020;13;July;Sunday;14
2020-07-26;2020;14;July;Sunday;11,49
2020-07-26;2020;15;July;Sunday;11,49
2020-07-26;2020;16;July;Sunday;7,9
2020-07-26;2020;17;July;Sunday;9,53
2020-07-26;2020;18;July;Sunday;27,08
2020-07-26;2020;19;July;Sunday;29,58
2020-07-26;2020;20;July;Sunday;32,76
2020-07-26;2020;21;July;Sunday;35,97
2020-07-26;2020;22;July;Sunday;40,99
2020-07-26;2020;23;July;Sunday;40,62
2020-07-27;2020;0;July;Monday;32,57
2020-07-27;2020;1;July;Monday;27,95
2020-07-27;2020;2;July;Monday;26,26
2020-07-27;2020;3;July;Monday;24,22
2020-07-27;2020;4;July;Monday;24,05
2020-07-27;2020;5;July;Monday;27,61
2020-07-27;2020;6;July;Monday;36
2020-07-27;2020;7;July;Monday;38,8
2020-07-27;2020;8;July;Monday;39,52
2020-07-27;2020;9;July;Monday;39,98
2020-07-27;2020;10;July;Monday;39,79
2020-07-27;2020;11;July;Monday;40,6
2020-07-27;2020;12;July;Monday;40,44
2020-07-27;2020;13;July;Monday;40
2020-07-27;2020;14;July;Monday;39,9
2020-07-27;2020;15;July;Monday;38,47
2020-07-27;2020;16;July;Monday;34,44
2020-07-27;2020;17;July;Monday;36,44
2020-07-27;2020;18;July;Monday;38,5
2020-07-27;2020;19;July;Monday;39,36
2020-07-27;2020;20;July;Monday;37,98
2020-07-27;2020;21;July;Monday;33,72
2020-07-27;2020;22;July;Monday;32,84
2020-07-27;2020;23;July;Monday;31,69
2020-07-28;2020;0;July;Tuesday;23,34
2020-07-28;2020;1;July;Tuesday;22,11
2020-07-28;2020;2;July;Tuesday;17,76
2020-07-28;2020;3;July;Tuesday;17,2
2020-07-28;2020;4;July;Tuesday;17,11
2020-07-28;2020;5;July;Tuesday;21,56
2020-07-28;2020;6;July;Tuesday;26,69
2020-07-28;2020;7;July;Tuesday;35,37
2020-07-28;2020;8;July;Tuesday;40
2020-07-28;2020;9;July;Tuesday;40,44
2020-07-28;2020;10;July;Tuesday;40
2020-07-28;2020;11;July;Tuesday;40,7
2020-07-28;2020;12;July;Tuesday;40,7
2020-07-28;2020;13;July;Tuesday;40
2020-07-28;2020;14;July;Tuesday;39,17
2020-07-28;2020;15;July;Tuesday;35,38
2020-07-28;2020;16;July;Tuesday;33,12
2020-07-28;2020;17;July;Tuesday;34,52
2020-07-28;2020;18;July;Tuesday;37,42
2020-07-28;2020;19;July;Tuesday;38,53
2020-07-28;2020;20;July;Tuesday;37,08
2020-07-28;2020;21;July;Tuesday;36,91
2020-07-28;2020;22;July;Tuesday;39,52
2020-07-28;2020;23;July;Tuesday;37,09
2020-07-29;2020;0;July;Wednesday;33,99
2020-07-29;2020;1;July;Wednesday;28,91
2020-07-29;2020;2;July;Wednesday;28,28
2020-07-29;2020;3;July;Wednesday;26,44
2020-07-29;2020;4;July;Wednesday;25,27
2020-07-29;2020;5;July;Wednesday;28,53
2020-07-29;2020;6;July;Wednesday;31,41
2020-07-29;2020;7;July;Wednesday;38,47
2020-07-29;2020;8;July;Wednesday;40
2020-07-29;2020;9;July;Wednesday;40,5
2020-07-29;2020;10;July;Wednesday;40,31
2020-07-29;2020;11;July;Wednesday;40,84
2020-07-29;2020;12;July;Wednesday;40,86
2020-07-29;2020;13;July;Wednesday;41,17
2020-07-29;2020;14;July;Wednesday;40,49
2020-07-29;2020;15;July;Wednesday;39,94
2020-07-29;2020;16;July;Wednesday;40
2020-07-29;2020;17;July;Wednesday;40,58
2020-07-29;2020;18;July;Wednesday;41,4
2020-07-29;2020;19;July;Wednesday;47,27
2020-07-29;2020;20;July;Wednesday;42,68
2020-07-29;2020;21;July;Wednesday;42,37
2020-07-29;2020;22;July;Wednesday;43,81
2020-07-29;2020;23;July;Wednesday;40,98
2020-07-30;2020;0;July;Thursday;37,04
2020-07-30;2020;1;July;Thursday;31,78
2020-07-30;2020;2;July;Thursday;29,74
2020-07-30;2020;3;July;Thursday;27,77
2020-07-30;2020;4;July;Thursday;26,99
2020-07-30;2020;5;July;Thursday;29,2
2020-07-30;2020;6;July;Thursday;35,73
2020-07-30;2020;7;July;Thursday;40,9
2020-07-30;2020;8;July;Thursday;41,55
2020-07-30;2020;9;July;Thursday;42,01
